ticker,sector,avg_abs_correlation,avg_correlation,max_abs_correlation,n_significant_raw,n_significant_bh,n_windows
XLB,Materials,0.14211961642503526,-0.14211961642503526,0.27367265526895823,1,0,3
XLE,Energy,0.1344809907864894,-0.1344809907864894,0.17627526111521585,0,0,3
XLI,Industrials,0.10776006835273033,-0.09186887771273305,0.2281566395627351,1,0,3
XLC,Communication Services,0.10483203072117431,0.008343249701369543,0.14473317152970716,0,0,3
XLRE,Real Estate,0.10403925265948656,-0.049882007998120016,0.18719750014511924,0,0,3
XLK,Technology,0.09149170747186863,-0.053846609594875076,0.17281946851858584,0,0,3
XLP,Consumer Staples,0.09020114947831527,0.03313977249738468,0.14156293005056608,0,0,3
XLF,Financials,0.08616278066903366,-0.047750330137231366,0.20086966620939753,0,0,3
XLY,Consumer Discretionary,0.07302070780847471,-0.005175117165572137,0.11729373746107029,0,0,3
XLU,Utilities,0.05893165642544349,-0.002208423810472727,0.08508484892245616,0,0,3
XLV,Health Care,0.04843199063629796,-0.014393144719250255,0.08572717864365133,0,0,3
